ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96096;"Kose kaupluse pakiautomaat";0;EE;"Harju maakond";"Kose vald";"Kose alevik";NULL;"Pikk tänav";NULL;23;NULL;25.1672803714738;59.1846886685036;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-10+02:00
75191;"Kose postkontor (Harju)";1;EE;"Harju maakond";"Kose vald";"Kose alevik";NULL;"Pikk tänav";NULL;9;NULL;25.163287173519;59.1869149077484;"E,T 9:00-17:00;K 10:00-18:00;N,R 10:00-17:00;L 10:00-13:00;P suletud";"20.07.-16.08.15 avatud T 9:00-17:00;K 10:00-18:00;N,R 10:00-17:00;L 10:00-13:00;E,P suletud;lähim Kose-Uuemõisa ja Ardu postipunktid (avatud ka E)";16.08.2015;"20.08.2015 suletud";20.08.2015;;;;;;2015-07-30+03:00
75193;"Kose-Uuemõisa postipunkt";1;EE;"Harju maakond";"Kose vald";"Kose-Uuemõisa alevik";NULL;"Tiigi tänav";NULL;1;NULL;25.1031577032524;59.2036519733141;"E 15:00-17:00;T-R 10:00-12:00;L,P suletud";"22.06.-24.06.2015 suletud;";24.06.2015;"29.06.?10.07.2015 suletud ja 03.08.-14.08.2015 suletud;21.09.-26.09.15 suletud;lähim Kose pk";26.09.2015;;;;;;2015-06-22+03:00
74293;"Kostivere postkontor";1;EE;"Harju maakond";"Jõelähtme vald";"Kostivere alevik";NULL;"Mõisa tee";NULL;2;NULL;25.0957211803786;59.4269608527945;"T,N,R 8:00-12:00;K 14:00-18:00;L 10:00-12:00;E ja P suletud";NULL;NULL;NULL;NULL;;;;;;2015-09-22+03:00
20201;"Kreenholmi postkontor";1;EE;"Ida-Viru maakond";"Narva linn";NULL;NULL;"Kreenholmi tänav";NULL;39;NULL;28.1875472789926;59.3666919580809;"E-R 10:00-18:00;L 10:00-13:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
10701;"Kristiine postkontor";1;EE;"Harju maakond";Tallinn;"Kristiine linnaosa";NULL;"Endla tänav";NULL;45;NULL;24.7235398690165;59.4269657880999;"E-R 10:00-20:00;L 10:00-17:00;P 10:00-15:00";"22.06.15 avatud 10:00-17:00;23.06-24.06.15 suletud";24.06.2015;NULL;NULL;;;;;;2015-06-02+03:00
63594;"Krootuse postipunkt";1;EE;"Põlva maakond";"Kõlleste vald";"Krootuse küla";NULL;NULL;Kaupluse;NULL;NULL;26.8411316103059;58.0755282836098;"E-R 10:00-18:00;L,P suletud";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-09-08+03:00
79392;"Kuimetsa postipunkt";1;EE;"Rapla maakond";"Kaiu vald";"Kuimetsa küla";NULL;NULL;NULL;NULL;NULL;25.123558433071;59.0416218182141;"E,K,R 9:00-12:00; T,N,L,P suletud";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
66520;"Kuldre postipunkt";1;EE;"Võru maakond";"Urvaste vald";"Kuldre küla";NULL;NULL;Kaupluse;NULL;NULL;26.4996288190562;57.8929778726194;"E-R 13:00-15:00;L,P suletud";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
9930;"Kuldīgas RIMI pakomāts";0;LV;Kuldīga;"Sūru iela 2, Kuldīga";;;;;;;21.958281;56.967018;;;;;;;;;;;
90791;"Kullamaa postkontor";1;EE;"Lääne maakond";"Kullamaa vald";"Kullamaa küla";NULL;NULL;Goldenbecki;NULL;NULL;24.0763613304546;58.8786027656712;"E,T,N 7:30-13:30;K 7:30-18:00;R 7:30-12:00;L,P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-08-04+03:00
44101;"Kunda postkontor";1;EE;"Lääne-Viru maakond";"Kunda linn";NULL;NULL;"Kasemäe tänav";NULL;12;NULL;26.5185121748004;59.5005087433131;"E 9:00-15:00;T-R 9:00-18:00;L 9:00-13:00;P suletud";"20.08.2015 suletud";20.08.2015;"1.07.2015-22.08.2015 avatud E,T,N,R 9:00-15:00;K 9:00-18:00;L 9:00-12:00;P suletud;lähim Rakvere pk";22.08.2015;;;;;;2015-07-30+03:00
48494;"Kuremaa postipunkt";1;EE;"Jõgeva maakond";"Jõgeva vald";"Kuremaa alevik";NULL;"Keskasula tänav";NULL;7;NULL;26.5395742509576;58.7343375425449;"E-L 10.00?18.00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-08-05+03:00
41294;"Kuremäe postipunkt";1;EE;"Ida-Viru maakond";"Illuka vald";"Kuremäe küla";NULL;NULL;NULL;NULL;NULL;27.5351484235512;59.2003558570272;"September- mai E-P 10.00-16.00;juuni, juuli, august E-P 8.00-11.00 ja 19.00-21.00";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
96034;"Kuressaare Maxima XX pakiautomaat";0;EE;"Saare maakond";"Kuressaare linn";NULL;NULL;"Tallinna tänav";NULL;64;NULL;22.5050023012865;58.2605307792837;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-11+02:00
96065;"Kuressaare Smuuli pakiautomaat";0;EE;"Saare maakond";"Kuressaare linn";NULL;NULL;"Juhan Smuuli tänav";NULL;1;NULL;22.4849356811918;58.2621684483418;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-10+02:00
93801;"Kuressaare postkontor";1;EE;"Saare maakond";"Kuressaare linn";NULL;NULL;"Torni tänav";NULL;1;NULL;22.4856473450879;58.2543800011784;"E-R 9:00-18:00; L 9:30-14:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-08-04+03:00
96108;"Kuusalu pakiautomaat";0;EE;"Harju maakond";"Kuusalu vald";"Kuusalu alevik";NULL;"Kuusalu tee";NULL;13;NULL;25.4414176133991;59.4454856651641;NULL;NULL;NULL;NULL;NULL;;;;;;2015-07-09+03:00
74691;"Kuusalu postkontor";1;EE;"Harju maakond";"Kuusalu vald";"Kuusalu alevik";NULL;"Kuusalu tee";NULL;22;NULL;25.4389773296338;59.4459996917114;"E,T,N,R 8:00-16:00;K 9:00-18:00;L 8:00-12:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
92191;"Käina postkontor";1;EE;"Hiiu maakond";"Käina vald";"Käina alevik";NULL;"Hiiu maantee";NULL;7;NULL;22.7770096663997;58.8280485321979;"T-R 9:00-16:00;E,L 9:00-13:00;P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-08-04+03:00
96046;"Kärdla Konsumi pakiautomaat";0;EE;"Hiiu maakond";"Hiiu vald";"Kärdla linn";NULL;Keskväljak;NULL;1;NULL;22.7469835163887;58.998561982001;NULL;NULL;NULL;NULL;NULL;;;;;;2014-11-10+02:00
92401;"Kärdla postkontor";1;EE;"Hiiu maakond";"Hiiu vald";"Kärdla linn";NULL;Keskväljak;NULL;3;NULL;22.7478843783451;58.9986303738151;"E-R 9:00-17:30;L 9:00-13:00;P suletud";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-04+03:00
93594;"Kärla postipunkt";1;EE;"Saare maakond";"Lääne-Saare vald";"Kärla alevik";NULL;"Pargi tänav";NULL;2;NULL;22.2556551856733;58.3308789244338;"E-R 11.00-15.00;L,P Suletud";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
69750;"Kärstna postipunkt";1;EE;"Viljandi maakond";"Tarvastu vald";"Kärstna küla";NULL;NULL;Kärstnapoe;NULL;NULL;25.8048840673719;58.1440510055888;"E-L 9:00-18:00; P 10:00-15:00";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
